"","V1","V2"
"1","Myriel","Napoleon"
"2","Myriel","MlleBaptistine"
"3","Myriel","MmeMagloire"
"4","MlleBaptistine","MmeMagloire"
"5","Myriel","CountessDeLo"
"6","Myriel","Geborand"
"7","Myriel","Champtercier"
"8","Myriel","Cravatte"
"9","Myriel","Count"
"10","Myriel","OldMan"
"11","Labarre","Valjean"
"12","MmeMagloire","Valjean"
"13","MlleBaptistine","Valjean"
"14","Myriel","Valjean"
"15","Valjean","Marguerite"
"16","Valjean","MmeDeR"
"17","Valjean","Isabeau"
"18","Valjean","Gervais"
"19","Tholomyes","Listolier"
"20","Tholomyes","Fameuil"
"21","Listolier","Fameuil"
"22","Tholomyes","Blacheville"
"23","Listolier","Blacheville"
"24","Fameuil","Blacheville"
"25","Tholomyes","Favourite"
"26","Listolier","Favourite"
"27","Fameuil","Favourite"
"28","Blacheville","Favourite"
"29","Tholomyes","Dahlia"
"30","Listolier","Dahlia"
"31","Fameuil","Dahlia"
"32","Blacheville","Dahlia"
"33","Favourite","Dahlia"
"34","Tholomyes","Zephine"
"35","Listolier","Zephine"
"36","Fameuil","Zephine"
"37","Blacheville","Zephine"
"38","Favourite","Zephine"
"39","Dahlia","Zephine"
"40","Tholomyes","Fantine"
"41","Listolier","Fantine"
"42","Fameuil","Fantine"
"43","Blacheville","Fantine"
"44","Favourite","Fantine"
"45","Dahlia","Fantine"
"46","Zephine","Fantine"
"47","Marguerite","Fantine"
"48","Valjean","Fantine"
"49","Fantine","MmeThenardier"
"50","Valjean","MmeThenardier"
"51","MmeThenardier","Thenardier"
"52","Fantine","Thenardier"
"53","Valjean","Thenardier"
"54","MmeThenardier","Cosette"
"55","Valjean","Cosette"
"56","Tholomyes","Cosette"
"57","Thenardier","Cosette"
"58","Valjean","Javert"
"59","Fantine","Javert"
"60","Thenardier","Javert"
"61","MmeThenardier","Javert"
"62","Cosette","Javert"
"63","Valjean","Fauchelevent"
"64","Javert","Fauchelevent"
"65","Fantine","Bamatabois"
"66","Javert","Bamatabois"
"67","Valjean","Bamatabois"
"68","Fantine","Perpetue"
"69","Perpetue","Simplice"
"70","Valjean","Simplice"
"71","Fantine","Simplice"
"72","Javert","Simplice"
"73","Valjean","Scaufflaire"
"74","Valjean","Woman1"
"75","Javert","Woman1"
"76","Valjean","Judge"
"77","Bamatabois","Judge"
"78","Valjean","Champmathieu"
"79","Judge","Champmathieu"
"80","Bamatabois","Champmathieu"
"81","Judge","Brevet"
"82","Champmathieu","Brevet"
"83","Valjean","Brevet"
"84","Bamatabois","Brevet"
"85","Judge","Chenildieu"
"86","Champmathieu","Chenildieu"
"87","Brevet","Chenildieu"
"88","Valjean","Chenildieu"
"89","Bamatabois","Chenildieu"
"90","Judge","Cochepaille"
"91","Champmathieu","Cochepaille"
"92","Brevet","Cochepaille"
"93","Chenildieu","Cochepaille"
"94","Valjean","Cochepaille"
"95","Bamatabois","Cochepaille"
"96","Thenardier","Pontmercy"
"97","Thenardier","Boulatruelle"
"98","MmeThenardier","Eponine"
"99","Thenardier","Eponine"
"100","Eponine","Anzelma"
"101","Thenardier","Anzelma"
"102","MmeThenardier","Anzelma"
"103","Valjean","Woman2"
"104","Cosette","Woman2"
"105","Javert","Woman2"
"106","Fauchelevent","MotherInnocent"
"107","Valjean","MotherInnocent"
"108","Fauchelevent","Gribier"
"109","Jondrette","MmeBurgon"
"110","MmeBurgon","Gavroche"
"111","Thenardier","Gavroche"
"112","Javert","Gavroche"
"113","Valjean","Gavroche"
"114","Cosette","Gillenormand"
"115","Valjean","Gillenormand"
"116","Gillenormand","Magnon"
"117","MmeThenardier","Magnon"
"118","Gillenormand","MlleGillenormand"
"119","Cosette","MlleGillenormand"
"120","Valjean","MlleGillenormand"
"121","MlleGillenormand","MmePontmercy"
"122","Pontmercy","MmePontmercy"
"123","MlleGillenormand","MlleVaubois"
"124","MlleGillenormand","LtGillenormand"
"125","Gillenormand","LtGillenormand"
"126","Cosette","LtGillenormand"
"127","MlleGillenormand","Marius"
"128","Gillenormand","Marius"
"129","Pontmercy","Marius"
"130","LtGillenormand","Marius"
"131","Cosette","Marius"
"132","Valjean","Marius"
"133","Tholomyes","Marius"
"134","Thenardier","Marius"
"135","Eponine","Marius"
"136","Gavroche","Marius"
"137","Gillenormand","BaronessT"
"138","Marius","BaronessT"
"139","Marius","Mabeuf"
"140","Eponine","Mabeuf"
"141","Gavroche","Mabeuf"
"142","Marius","Enjolras"
"143","Gavroche","Enjolras"
"144","Javert","Enjolras"
"145","Mabeuf","Enjolras"
"146","Valjean","Enjolras"
"147","Enjolras","Combeferre"
"148","Marius","Combeferre"
"149","Gavroche","Combeferre"
"150","Mabeuf","Combeferre"
"151","Gavroche","Prouvaire"
"152","Enjolras","Prouvaire"
"153","Combeferre","Prouvaire"
"154","Gavroche","Feuilly"
"155","Enjolras","Feuilly"
"156","Prouvaire","Feuilly"
"157","Combeferre","Feuilly"
"158","Mabeuf","Feuilly"
"159","Marius","Feuilly"
"160","Marius","Courfeyrac"
"161","Enjolras","Courfeyrac"
"162","Combeferre","Courfeyrac"
"163","Gavroche","Courfeyrac"
"164","Mabeuf","Courfeyrac"
"165","Eponine","Courfeyrac"
"166","Feuilly","Courfeyrac"
"167","Prouvaire","Courfeyrac"
"168","Combeferre","Bahorel"
"169","Gavroche","Bahorel"
"170","Courfeyrac","Bahorel"
